Freq	Pol	SR	Beam	Type	Channel Name	FTA	V.PID	A.PID	SID	Row
10714	H	22000 5/6	2E UK	TV	Channel 4 London	No	2315	2316[Eng]|2317[Eng]	9211	0
10714	H	22000 5/6	2E UK	TV	Channel 4 South & East	No	2327	2328[Eng]	9212	0
10714	H	22000 5/6	2E UK	TV	Channel 4 Midlands	No	2332	2333[Eng]	9213	0
10714	H	22000 5/6	2E UK	TV	Channel 4 North	No	2337	2338[Eng]	9214	0
10714	H	22000 5/6	2E UK	TV	Channel 4 Northern Ireland	No	2342	2343[Eng]	9215	0
10714	H	22000 5/6	2E UK	TV	Channel 4 Scotland	No	2347	2348[Eng]	9216	0
10714	H	22000 5/6	2E UK	TV	Film 4	No	2353	2354[Eng]|2355[Eng]	9220	0
10714	H	22000 5/6	2E UK	TV	More 4 UK +1	No	2367	2368[Eng]|2369[Eng]	9230	0
10714	H	22000 5/6	2E UK	TV	E4 UK	No	2372	2374[Eng]	9241	0
10758	V	22000 5/6	2E UK	TV	ITV London	No	3328	3329[Eng]|3330[Eng]	10060	12
10758	V	22000 5/6	2E UK	TV	ITV 2	No	3332	3333[Eng]|3334[Eng]	10070	12
10758	V	22000 5/6	2E UK	TV	CITV U.K (07-19)	No	3336	3337[Eng]|3338[Eng]	10071	12
10758	V	22000 5/6	2E UK	TV	ITV 4	No	3340	3341[Eng]|3342[Eng]	10072	12
10758	V	22000 5/6	2E UK	TV	ITV 4	No	2316	1317[Eng]|2318[Eng]	10073	12
10758	V	22000 5/6	2E UK	TV	ITV Be	No	2305	2308[Eng]|2309[Eng]	10075	12
10758	V	22000 5/6	2E UK	TV	ITV Granada TV	No	3348	3349[Eng]	10080	12
10758	V	22000 5/6	2E UK	TV	ITV Anglia East	No	3352	3353[Eng]	10090	12
10758	V	22000 5/6	2E UK	TV	ITV Anglia East +1	No	2312	2313[Eng]	10091	12
10758	V	22000 5/6	2E UK	TV	ITV Central West	No	3356	3357[Eng]	10100	12
10758	V	22000 5/6	2E UK	TV	ITV Meridian South East +1	No	2351	2352[Eng]	10101	12
10773	H	22000 5/6	2E UK	TV	BBC One London	No	5000	5001[Eng]|5002[Eng]	6301	24
10773	H	22000 5/6	2E UK	TV	BBC Two	No	5100	5101[Eng]|5102[Eng]	6302	24
10773	H	22000 5/6	2E UK	TV	BBC Four (19-03)	No	5200	5201[Eng]|5202[Eng]	6316	24
10773	H	22000 5/6	2E UK	TV	CBeebies UK (06-19)	No	5200	5201[Eng]|5202[Eng]	6318	24
10773	H	22000 5/6	2E UK	TV	BBC One West	No	5900	5901[Eng]	6341	24
10773	H	22000 5/6	2E UK	TV	BBC One Cambridge	No	5700	5701[Eng]	6351	24
10773	H	22000 5/6	2E UK	TV	BBC One Channel Islands	No	5800	5801[Eng]	6361	24
10773	H	22000 5/6	2E UK	TV	BBC Red Button 1	No	5400	5401[Eng]	6390	24
10788	V	22000 5/6	2E UK	TV	BBC One West Midlands	No	5000	5001[Eng]	10301	33
10788	V	22000 5/6	2E UK	TV	BBC One East Yorkshire & Lincolnshire	No	5200	5201[Eng]	10303	33
10788	V	22000 5/6	2E UK	TV	BBC One East Midlands	No	5401	5402[Eng]	10305	33
10788	V	22000 5/6	2E UK	TV	BBC One East Norwich	No	5500	5501[Eng]	10306	33
10788	V	22000 5/6	2E UK	TV	BBC Parliament	No	6100	6101[Eng]	10307	33
10788	V	22000 5/6	2E UK	TV	BBC One Wales	No	5600	5601[Eng]	10311	33
10788	V	22000 5/6	2E UK	TV	BBC Two Wales	No	5700	5701[Eng]	10312	33
10788	V	22000 5/6	2E UK	R	-R- BBC Radio 3	No		6001[Eng]	10380	33
10788	V	22000 5/6	2E UK	R	-R- BBC Radio 4 FM	No		6002[Eng]	10381	33
10788	V	22000 5/6	2E UK	R	-R- BBC Radio 4 LW	No		6003[Eng]	10382	33
10788	V	22000 5/6	2E UK	R	-R- BBC Radio 6 Music	No		6004[Eng]	10383	33
10788	V	22000 5/6	2E UK	R	-R- BBC Radio 4 Extra	No		6005[Eng]	10384	33
10788	V	22000 5/6	2E UK	R	-R- BBC World Service Europe	No		6006[Eng]	10385	33
10788	V	22000 5/6	2E UK	R	-R- BBC Radio Scotland AM	No		6007[Eng]	10386	33
10788	V	22000 5/6	2E UK	R	-R- BBC Radio nan Gaidheal	No		6008[Sco]	10387	33
10788	V	22000 5/6	2E UK	R	-R- BBC Radio Wales FM	No		6009[Eng]	10388	33
10788	V	22000 5/6	2E UK	R	-R- BBC Radio Cymru	No		6010[We]	10389	33
10788	V	22000 5/6	2E UK	R	-R- BBC Radio Ulster FM	No		6011[Eng]	10390	33
10788	V	22000 5/6	2E UK	R	-R- BBC Radio Foyle	No		6012[Eng]	10391	33
10803	H	22000 5/6	2E UK	TV	BBC One Scotland	No	5000	5001[Eng]	6421	53
10803	H	22000 5/6	2E UK	TV	BBC Scotland	No	5100	5101[Eng]	6422	53
10803	H	22000 5/6	2E UK	TV	BBC Alba	No	5200	5201[Gae]	6424	53
10803	H	22000 5/6	2E UK	TV	BBC One North West	No	5700	5701[Eng]	6441	53
10803	H	22000 5/6	2E UK	TV	BBC One Yorkshire & North Midlands	No	5800	5801[Eng]	6451	53
10803	H	22000 5/6	2E UK	R	-R- BBC Radio Cymru 2	No		6701[We]	6454	53
10803	H	22000 5/6	2E UK	TV	BBC One South East	No	5900	5901[Eng]	6461	53
10803	H	22000 5/6	2E UK	TV	BBC One NE & Cumbria	No	5600	5601[Eng]	6471	53
10803	H	22000 5/6	2E UK	R	-R- BBC Radio Five Live	No		6001[Eng]	6401	53
10803	H	22000 5/6	2E UK	R	-R- BBC Radio 1	No		6201[Eng]	6450	53
10803	H	22000 5/6	2E UK	R	-R- BBC Radio 2	No		6301[Eng]	6452	53
10803	H	22000 5/6	2E UK	R	-R- BBC Asian Network	No		6401[Eng]	6460	53
10803	H	22000 5/6	2E UK	R	-R- BBC Radio Five Live Sports Extra	No		6101[Eng]	6464	53
10803	H	22000 5/6	2E UK	R	-R- BBC Radio 1 Extra	No		6501[Eng]	6466	53
10803	H	22000 5/6	2E UK	R	-R- BBC London 94.9 FM	No		6601[Eng]	6470	53
10818	V	22000 5/6	2E UK	TV	CBBC (08-19)	No	5400	5401[Eng]|5402[Eng]	10352	69
10818	V	22000 5/6	2E UK	TV	BBC One South England	No	5200	5201[Eng]	10353	69
10818	V	22000 5/6	2E UK	TV	BBC One South West	No	5300	5301[Eng]	10354	69
10818	V	22000 5/6	2E UK	TV	BBC One Oxford	No	5500	5501[Eng]	10356	69
10818	V	22000 5/6	2E UK	TV	BBC News	No	5100	5101[Eng]	10358	69
10818	V	22000 5/6	2E UK	TV	BBC One Northern Ireland	No	5600	5601[Eng]	10361	69
10818	V	22000 5/6	2E UK	TV	BBC Two Northern Ireland	No	5700	5701[Eng]	10362	69
10847	V	23000 3/4	2E UK	TV	BBC Two Wales HD	No	5700	5701[Eng]	6912	78
10847	V	23000 3/4	2E UK	TV	BBC Two HD	No	5500	5501[Eng]|5502[Eng]	6940	78
10847	V	23000 3/4	2E UK	TV	BBC One HD	No	5400	5401[Eng]|5402[Eng]	6941	78
10847	V	23000 3/4	2E UK	TV	BBC One Northern Ireland HD	No	5300	5301[Eng]	6943	78
10847	V	23000 3/4	2E UK	TV	CBBC HD (07-19)	No	5600	5601[Eng]	6952	78
10891	H	22000 5/6	2E UK	TV	ITV Border	No	3368	3369[Eng]	10120	86
10891	H	22000 5/6	2E UK	TV	ITV Westcountry South West +1	No	2342	2343[Eng]	10125	86
10891	H	22000 5/6	2E UK	TV	ITV Tyne Tees	No	3339	3340[Eng]	10130	86
10891	H	22000 5/6	2E UK	TV	ITV Be +1	No	2305	2308[Eng]	10139	86
10891	H	22000 5/6	2E UK	TV	ITV Meridian South	No	3336	3337[Eng]	10140	86
10891	H	22000 5/6	2E UK	TV	ITV Central West +1	No	2358	2359[Eng]	10145	86
10891	H	22000 5/6	2E UK	TV	ITV Meridian South East	No	3344	3345[Eng]	10150	86
10891	H	22000 5/6	2E UK	TV	ITV London +1	No	2362	2363[Eng]	10155	86
10891	H	22000 5/6	2E UK	TV	ITV Yorkshire West	No	3348	3349[Eng]	10160	86
10891	H	22000 5/6	2E UK	TV	ITV 2 +1	No	3352	3353[Eng]|3354[Eng]	10165	86
10906	V	22000 5/6	2E UK	TV	Channel TV	No	3328	3329[Eng]	10200	97
10906	V	22000 5/6	2E UK	TV	Scottish TV North	No	3332	3333[Eng]	10210	97
10906	V	22000 5/6	2E UK	TV	Scottish TV West	No	3336	3337[Eng]	10220	97
10906	V	22000 5/6	2E UK	TV	Scottish TV East	No	3340	3341[Eng]	10221	97
10906	V	22000 5/6	2E UK	TV	Scottish TV East +1	No	2374	2318[Eng]|2378[Eng]	10225	97
10906	V	22000 5/6	2E UK	TV	Ulster TV	No	3344	3345[Eng]	10230	97
10906	V	22000 5/6	2E UK	TV	Ulster TV +1	No	2318	2312[Eng]	10231	97
10906	V	22000 5/6	2E UK	TV	ITV Westcountry South West	No	2308	2305[Eng]	10240	97
10906	V	22000 5/6	2E UK	TV	Scottish TV Tayside	No	2379	2380[Eng]	10255	97
10906	V	22000 5/6	2E UK	TV	ITV 3	No	3348	3349[Eng]	10260	97
10906	V	22000 5/6	2E UK	TV	ITV 3 +1 (19-07)	No	3352	3353[Eng]|3354[Eng]	10261	97
10906	V	22000 5/6	2E UK	R	-R- Talk Sport	No		3355[Eng]	10238	97
10936	V	22000 5/6	2E UK	TV	E4 UK +1	No	2347	2348[Eng]|2349[Eng]	8300	111
10936	V	22000 5/6	2E UK	TV	E4 UK	No	2305	2306[Eng]|2307[Eng]	8305	111
10936	V	22000 5/6	2E UK	TV	Channel 4 London +1	No	2316	2317[Eng]|2318[Eng]	8311	111
10936	V	22000 5/6	2E UK	TV	Channel 4 South & East +1	No	2322	2323[Eng]	8312	111
10936	V	22000 5/6	2E UK	TV	Channel 4 North +1	No	2332	2333[Eng]	8314	111
10936	V	22000 5/6	2E UK	TV	Channel 4 Scotland +1	No	2342	2343[Eng]	8316	111
10936	V	22000 5/6	2E UK	TV	More 4 UK	No	2359	2360[Eng]|2361[Eng]	8340	111
10936	V	22000 5/6	2E UK	TV	Film 4 UK +1	No	2354	2356[Eng]	8341	111
10964	H	22000 5/6	2G UK	TV	Channel 5	No	2346	2347[Eng]	7701	120
10964	H	22000 5/6	2G UK	TV	5 USA	No	2325	2326[Eng]	7710	120
10964	H	22000 5/6	2G UK	TV	5 USA +1	No	2333	2334[Eng]	7711	120
10964	H	22000 5/6	2G UK	TV	5 star	No	2329	2330[Eng]	7715	120
10964	H	22000 5/6	2G UK	TV	5Select	No	2337	2338[Eng]	7716	120
10964	H	22000 5/6	2G UK	TV	5 star +1	No	2341	2342[Eng]	7717	120
10964	H	22000 5/6	2G UK	TV	Channel 5 +1 (Region 1)	No	2321	2322[Eng]	7720	120
10964	H	22000 5/6	2G UK	TV	Paramount Network UK	No	2360	2361[Eng]	7730	120
10964	H	22000 5/6	2G UK	TV	Paramount Network UK +1	No	2369	2371[Eng]	7731	120
10964	H	22000 5/6	2G UK	TV	Channel 5 HD	No	2305	2306[Eng]	7750	120
10994	H	22000 5/6	2G UK	TV	ITV Meridian North	No	3332	3333[Eng]	12101	131
10994	H	22000 5/6	2G UK	TV	ITV +1 Tyne Tees	No	2309	2306[Eng]	12105	131
10994	H	22000 5/6	2G UK	TV	ITV Anglia TV West	No	3336	3337[Eng]	12110	131
10994	H	22000 5/6	2G UK	TV	ITV Yorkshire East	No	3340	3341[Eng]	12120	131
10994	H	22000 5/6	2G UK	TV	ITV Border Scotland	No	2321	2322[Eng]	12130	131
10994	H	22000 5/6	2G UK	TV	ITV Central East	No	2310	2311[Eng]	12145	131
10994	H	22000 5/6	2G UK	TV	ITV Wales	No	2340	2341[Eng]	12150	131
10994	H	22000 5/6	2G UK	TV	ITV Wales +1	No	2345	2346[Eng]	12155	131
10994	H	22000 5/6	2G UK	TV	ITV Yorkshire TV East +1	No	2330	2372[Eng]	12165	131
10994	H	22000 5/6	2G UK	TV	ITV	No	2320	2332[Eng]		131
10994	H	22000 5/6	2G UK	TV	ITV +1	No	2325	2326[Eng]		131
11023	H	23000 3/4	2G UK	TV	BBC One HD Scotland	No	5100	5101[Eng]	8901	143
11023	H	23000 3/4	2G UK	TV	BBC One HD Wales	No	5200	5201[Eng]	8911	143
11023	H	23000 3/4	2G UK	TV	BBC News HD	No	5000	5001[Eng]	8921	143
11023	H	23000 3/4	2G UK	TV	BBC Scotland HD	No	2307	2309[Eng]	8924	143
11023	H	23000 3/4	2G UK	TV	BBC Four HD (19-03)	No	5300	5301[Eng]|5302[Eng]	8931	143
11023	H	23000 3/4	2G UK	TV	CBeebies UK HD (06-19)	No	5300	5301[Eng]|5302[Eng]	8932	143
11053	H	23000 3/4	2G UK	TV	ITV Wales HD	No	2320	2321[Eng]|2322[Eng]	20730	153
11053	H	23000 3/4	2G UK	TV	ITV Granada HD	No	2330	2331[Eng]|2332[Eng]	20740	153
11053	H	23000 3/4	2G UK	TV	ITV Tyne Tees	No	2318	2315[Eng]|2317[Eng]	20750	153
11068	V	23000 3/4	2G UK	TV	ITV Border UK HD	No	2310	2311[Eng]|2317[Eng]		158
11068	V	23000 3/4	2G UK	TV	STV West HD	No	2305	2306[Eng]	20800	158
11068	V	23000 3/4	2G UK	TV	Ulster TV HD	No	2312	2313[Eng]	20810	158
11068	V	23000 3/4	2G UK	TV	ITV Anglia East HD	No	2325	2326[Eng]	20840	158
11082	H	22000 5/6	2G Europe	TV	KTV India	Yes	2346	2347[Eng]	50300	164
11082	H	22000 5/6	2G Europe	TV	Jewellery Maker	No	2334	2335[Eng]	50310	164
11082	H	22000 5/6	2G Europe	TV	CNN International Europe	No	2309	2312[Eng]	50316	164
11082	H	22000 5/6	2G Europe	TV	Ahlulbayt TV	Yes	2338	2339[Ara]	50325	164
11082	H	22000 5/6	2G Europe	TV	Spotlight TV	No	2330	2331[Eng]	50331	164
11082	H	22000 5/6	2G Europe	TV	Sikh Channel	No	2307	2308[Eng]	50335	164
11082	H	22000 5/6	2G Europe	TV	Hillsong Channel	No	2336	2337[Eng]	50345	164
11082	H	22000 5/6	2G Europe	TV	Blaze	No	2310	2111[Eng]	50350	164
11082	H	22000 5/6	2G Europe	TV	Inspirational TV	No	2315	2316[Eng]	50390	164
11082	H	22000 5/6	2G Europe	TV	Al Jazeera English	Yes	2317	2318[Eng]	50395	164
11095	V	30000 5/6	2G West Africa	R	Afriwood Blockbuster	No		[Eng]		175
11095	V	30000 5/6	2G West Africa	TV	Natural TV	No	49	34[Eng]	55304	175
11095	V	30000 5/6	2G West Africa	TV	Star 21 TV	Yes	66	67[Fre]	55305	175
11095	V	30000 5/6	2G West Africa	TV	Premier Bet 1	No	540	539	55310	175
11095	V	30000 5/6	2G West Africa	TV	Premier Bet 2	No	560	559	55311	175
11095	V	30000 5/6	2G West Africa	TV	France 24 English	Yes	606	626[Eng]	55320	175
11095	V	30000 5/6	2G West Africa	TV	True African	No	1311	1312[Eng]	55383	175
11095	V	30000 5/6	2G West Africa	TV	Afriwood Series	No	1343	1344[Eng]	55384	175
11095	V	30000 5/6	2G West Africa	TV	Fight TV	No	1375	1376[Eng]	55385	175
11095	V	30000 5/6	2G West Africa	TV	Life TV	No	1407	1408[Eng]	55386	175
11095	V	30000 5/6	2G West Africa	TV	Fresh TV	No	1439	1440[Eng]	55387	175
11095	V	30000 5/6	2G West Africa	TV	Kiddiwinks	No	1471	1472	55388	175
11095	V	30000 5/6	2G West Africa	TV	Gospel Life TV	No	1503	1504[Eng]	55389	175
11095	V	30000 5/6	2G West Africa	TV	LOL	No	1535	1536[Eng]	55390	175
11095	V	30000 5/6	2G West Africa	TV	Sports Connect	No	1567	1568[Eng]	55391	175
11095	V	30000 5/6	2G West Africa	TV	Pulse TV	No	1599	1600[Eng]	55392	175
11095	V	30000 5/6	2G West Africa	TV	Romanza+ Africa	No	1631	1632[Eng]	55393	175
11095	V	30000 5/6	2G West Africa	TV	LimeLight TV	No	1663	1664[Eng]	55394	175
11097	V	23000 3/4	2G UK	TV	ITV London HD	No	2305	2306[Eng]|2307[Eng]	21000	194
11097	V	23000 3/4	2G UK	TV	ITV Meridian South East HD	No	2315	2316[Eng]|2317[Eng]	21020	194
11097	V	23000 3/4	2G UK	TV	ITV Central West HD	No	2320	2321[Eng]|2322[Eng]	21030	194
11097	V	23000 3/4	2G UK	TV	ITV Yorkshire West HD	No	2310	2311[Eng]|2312[Eng]	21040	194
11112	H	22000 5/6	2G Europe	TV	Arise News	Yes	2605	2606[Eng]	50400	199
11112	H	22000 5/6	2G Europe	TV	Geo News International	Yes	2341	2340[Urd]	50405	199
11112	H	22000 5/6	2G Europe	TV	Gems TV	No	2318	2319[Eng]	50411	199
11112	H	22000 5/6	2G Europe	TV	Islam Channel	Yes	2313	2314[Ara]	50415	199
11112	H	22000 5/6	2G Europe	TV	Studio 66 TV 2	No	2309	2610[Eng]	50440	199
11112	H	22000 5/6	2G Europe	TV	Studio 66 TV 3	No	2311	2312[Eng]	50445	199
11112	H	22000 5/6	2G Europe	TV	Faith UK	No	2322	2323[Eng]	50450	199
11112	H	22000 5/6	2G Europe	TV	High Street TV 3	No	2316	2317[Eng]	50456	199
11112	H	22000 5/6	2G Europe	TV	Brit Asia TV	Yes	2320	2321[Eng]	50460	199
11112	H	22000 5/6	2G Europe	TV	ARY Family	No	2330	2331[Eng]	50470	199
11112	H	22000 5/6	2G Europe	TV	Sanskar TV	Yes	2343	2342[Hin]	50475	199
11112	H	22000 5/6	2G Europe	TV	Dunya News	No	2305	2315[Urd]	50490	199
11112	H	22000 5/6	2G Europe	TV	MATV National	No	2362	2363[Eng]	50495	199
11112	H	22000 5/6	2G Europe	TV	New Vision TV (ARY World)	Yes	2326	2327[Eng]	50497	199
11112	H	22000 5/6	2G Europe	TV	Islam Channel	Yes	2325	2324[Ara]	52021	199
11112	H	22000 5/6	2G Europe	TV	Iqra Bangla	Yes	2328	2329[Ben]	52023	199
11112	H	22000 5/6	2G Europe	TV	Iqra TV	Yes	2332	2333[Ara]	52202	199
11127	V	22000 5/6	2G UK	TV	Channel 4 HD	No	2305	2306[Eng]|2307[Eng]	21200	217
11127	V	22000 5/6	2G UK	TV	4Seven	No	2316	2317[Eng]	21250	217
11141	H	22000 5/6	2G Europe	TV	BET UK	No	2301	2302[Eng]	51081	222
11171	H	22000 5/6	2G Europe	TV	A1TV	No	2309	2315[Eng]	51117	225
11171	H	22000 5/6	2G Europe	R	-R- NewsTalk	No		2331[Eng]	51114	225
11225	V	23000 2/3	2G Europe	TV	NHK World Japan HD	Yes	2315	2316[Eng]|2317[Eng]	53147	233
11225	V	23000 2/3	2G Europe	TV	RT News HD	Yes	2348	2349[Eng]	53148	233
11225	V	23000 2/3	2G Europe	TV	Arirang World HD	Yes	2309	2311[Eng]	53150	233
11225	V	23000 2/3	2G Europe	TV	CGTN HD	Yes	2305	2306[Eng]	53151	233
11264	H	27500 2/3	2G Europe	TV	Magic UK	No	2309	2310[Eng]	7207	238
11264	H	27500 2/3	2G Europe	TV	The Box UK	No	2312	2314[Eng]	7208	238
11264	H	27500 2/3	2G Europe	TV	Box Hits	No	2334	2333[Eng]	7209	238
11264	H	27500 2/3	2G Europe	TV	Kiss	No	2315	2316[Eng]	7211	238
11264	H	27500 2/3	2G Europe	TV	Kerrang!	No	2340	2339[Eng]	7212	238
11265	V	27500 2/3	2G Europe	TV	Phoenix CNE	Yes	2315	2316[Eng]|2314[Chi]	52118	244
11265	V	27500 2/3	2G Europe	TV	Islam Channel Urdu	Yes	2310	2311[Urd]	52119	244
11265	V	27500 2/3	2G Europe	TV	MTA International	Yes	2354	2355[Org]|2356[Urd]|2357[Eng]|2358[Fre]|2359[Ger]|2360[Ara]|2361[Ben]	52123	244
11265	V	27500 2/3	2G Europe	TV	TBN UK	Yes	2363	2364[Eng]	52124	244
11265	V	27500 2/3	2G Europe	TV	Smithsonian Channel	No	2305	2306[Eng]	52126	244
11265	V	27500 2/3	2G Europe	TV	Revelation TV	No	2313	2314[Eng]	52127	244
11265	V	27500 2/3	2G Europe	TV	EWTN UK & Ireland	No	2341	2342[Eng]	52136	244
11265	V	27500 2/3	2G Europe	R	-R- EWTN Radio Europe	No		2343[Eng]	52137	244
11307	V	27500 5/6	2F UK	TV	Sony Action	No	2306	2307[Eng]	53310	254
11307	V	27500 5/6	2F UK	TV	Sony Movies Channel UK	No	2349	2350[Eng]	53315	254
11307	V	27500 5/6	2F UK	TV	Sony Movies Classic	No	2313	2314[Eng]	53320	254
11307	V	27500 5/6	2F UK	TV	Sony Movies Classic +1	No	2317	2318[Eng]	53325	254
11307	V	27500 5/6	2F UK	TV	Tiny Pop	No	2321	2322[Eng]	53330	254
11307	V	27500 5/6	2F UK	TV	Pop!	No	2315	2316[Eng]	53340	254
11307	V	27500 5/6	2F UK	TV	Tiny Pop +1	No	2335	2336[Eng]	53345	254
11307	V	27500 5/6	2F UK	TV	Pop Max	No	2337	2338[Eng]	53351	254
11307	V	27500 5/6	2F UK	TV	Sony Movie Channel UK +1	No	2352	2353[Eng]	53355	254
11307	V	27500 5/6	2F UK	TV	Pop Max +1	No	2333	2334[Eng]	53360	254
11307	V	27500 5/6	2F UK	TV	Wedding TV Asia (04-06)	No	2333	2334[Eng]	53360	254
11307	V	27500 5/6	2F UK	TV	Sony Action +1	No	2319	2320[Eng]	53365	254
11307	V	27500 5/6	2F UK	TV	Pop! +1 (04-02)	No	2339	2340[Eng]	53371	254
11307	V	27500 5/6	2F UK	TV	True Entertainment +1 (02-04)	No	2339	2340[Eng]	53371	254
11307	V	27500 5/6	2F UK	TV	Sony Channel UK	No	2341	2342[Eng]	53375	254
11307	V	27500 5/6	2F UK	TV	Sony Channel UK +1	No	2344	2345[Eng]	53380	254
11307	V	27500 5/6	2F UK	TV	Sony Crime Channel UK	No	2308	2311[Eng]	53385	254
11344	H	27500 5/6	2F UK	TV	Trace Urban UK	Yes	2307	2308[Eng]	53201	272
11344	H	27500 5/6	2F UK	TV	Trace Latina	Yes	2305	2306[Eng]	53211	272
11344	H	27500 5/6	2F UK	TV	Trace Vault	Yes	2336	2335[Eng]	53217	272
11344	H	27500 5/6	2F UK	TV	HGTV UK	No	2346	2348[Eng]|2349[Eng]	53221	272
11344	H	27500 5/6	2F UK	TV	Really UK	No	2309	2323[Eng]|2324[Eng]	53225	272
11344	H	27500 5/6	2F UK	TV	Really Ireland	No	2342	2343[Eng]|2344[Eng]	53235	272
11344	H	27500 5/6	2F UK	TV	PBS America	No	2337	2338[Eng]	53270	272
11344	V	27500 5/6	2F UK	TV	CBS Drama UK	No	3080	3081[Eng]	50903	280
11344	V	27500 5/6	2F UK	TV	CBS Justice Ireland	No	2318	2319[Eng]	55201	280
11344	V	27500 5/6	2F UK	TV	Horror Channel UK	No	2307	2308[Eng]	55202	280
11344	V	27500 5/6	2F UK	TV	CBS Justice	No	2644	2645[Eng]	55209	280
11344	V	27500 5/6	2F UK	TV	Starz	No	2353	2354[Eng]	55213	280
11344	V	27500 5/6	2F UK	TV	CBS Reality UK	No	2650	2651[Eng]	55214	280
11344	V	27500 5/6	2F UK	TV	CBS Reality Ireland	No	2351	2350[Eng]	55216	280
11344	V	27500 5/6	2F UK	TV	CBS Reality UK +1	No	2312	2313[Eng]	55217	280
